 Time, durationA, durationB, comment,,,,,,
오후 4:26:08,147,223,,,,,,,
오후 4:26:08,156,223,,,,,,,
오후 4:26:08,156,223,,,,,,,
오후 4:26:08,223,223,,,,,,,
오후 4:26:08,223,223,,,,,,,
오후 4:26:08,224,223,,,,,,,
오후 4:26:08,224,223,,,,,,,
오후 4:26:08,,,OUT,,,,,,
오후 4:26:15,224,222,,,,,,,
오후 4:26:15,224,222,,,,,,,
오후 4:26:15,224,222,,,,,,,
오후 4:26:15,133,222,,,,,,,
오후 4:26:15,133,222,,,,,,,
오후 4:26:16,133,222,,,,,,,
오후 4:26:16,133,222,,,,,,,
오후 4:26:16,133,222,,,,,,,
오후 4:26:16,224,222,,,,,,,
오후 4:26:16,224,222,,,,,,,
오후 4:26:16,224,222,,,,,,,
오후 4:26:16,133,223,,,,,,,
오후 4:26:16,133,222,,,,,,,
오후 4:26:16,133,222,,,,,,,
오후 4:26:16,133,222,,,,,,,
오후 4:26:16,127,222,,,,,,,
오후 4:26:16,127,222,,,,,,,
오후 4:26:16,127,222,,,,,,,
오후 4:26:16,124,223,,,,,,,
오후 4:26:16,124,223,,,,,,,
오후 4:26:16,127,158,,,,,,,
오후 4:26:16,127,158,,,,,,,
오후 4:26:16,120,222,,,,,,,
오후 4:26:16,120,222,,,,,,,
오후 4:26:16,118,124,,,,,,,
오후 4:26:16,118,124,,,,,,,
오후 4:26:16,120,122,,,,,,,
오후 4:26:16,120,122,,,,,,,
오후 4:26:16,119,123,,,,,,,
오후 4:26:16,119,123,,,,,,,
오후 4:26:16,119,129,,,,,,,
오후 4:26:16,119,129,,,,,,,
오후 4:26:16,120,122,,,,,,,
오후 4:26:16,120,122,,,,,,,
오후 4:26:16,120,124,,,,,,,
오후 4:26:16,120,124,,,,,,,
오후 4:26:16,121,141,,,,,,,
오후 4:26:16,121,141,,,,,,,
오후 4:26:16,122,129,,,,,,,
오후 4:26:16,122,129,,,,,,,
오후 4:26:16,126,128,,,,,,,
오후 4:26:16,126,128,,,,,,,
오후 4:26:16,127,129,,,,,,,
오후 4:26:16,127,129,,,,,,,
오후 4:26:16,130,131,,,,,,,
오후 4:26:16,130,131,,,,,,,
오후 4:26:16,133,132,,,,,,,
오후 4:26:16,133,132,,,,,,,
오후 4:26:17,133,134,,,,,,,
오후 4:26:17,133,134,,,,,,,
오후 4:26:17,135,134,,,,,,,
오후 4:26:17,135,134,,,,,,,
오후 4:26:17,137,137,,,,,,,
오후 4:26:17,137,137,,,,,,,
오후 4:26:17,141,137,,,,,,,
오후 4:26:17,141,137,,,,,,,
오후 4:26:17,140,138,,,,,,,
오후 4:26:17,140,138,,,,,,,
오후 4:26:17,142,140,,,,,,,
오후 4:26:17,142,140,,,,,,,
오후 4:26:17,141,152,,,,,,,
오후 4:26:17,141,152,,,,,,,
오후 4:26:17,142,140,,,,,,,
오후 4:26:17,142,140,,,,,,,
오후 4:26:17,149,147,,,,,,,
오후 4:26:17,149,147,,,,,,,
오후 4:26:17,154,150,,,,,,,
