 Time, durationA, durationB, comment,,,,,,
오후 4:48:27,123,121,,,,,,,
오후 4:48:27,123,121,,,,,,,
오후 4:48:27,121,120,,,,,,,
오후 4:48:27,121,120,,,,,,,
오후 4:48:27,128,120,,,,,,,
오후 4:48:27,128,120,,,,,,,
오후 4:48:27,123,121,,,,,,,
오후 4:48:27,123,121,,,,,,,
오후 4:48:27,128,123,,,,,,,
오후 4:48:27,128,123,,,,,,,
오후 4:48:27,127,124,,,,,,,
오후 4:48:27,127,124,,,,,,,
오후 4:48:27,135,129,,,,,,,
오후 4:48:27,135,129,,,,,,,
오후 4:48:27,130,125,,,,,,,
오후 4:48:27,130,125,,,,,,,
오후 4:48:27,131,129,,,,,,,
오후 4:48:27,131,129,,,,,,,
오후 4:48:27,135,134,,,,,,,
오후 4:48:27,135,134,,,,,,,
오후 4:48:27,131,136,,,,,,,
오후 4:48:27,131,136,,,,,,,
오후 4:48:27,134,131,,,,,,,
오후 4:48:28,134,131,,,,,,,
오후 4:48:28,140,135,,,,,,,
오후 4:48:28,140,135,,,,,,,
오후 4:48:28,141,135,,,,,,,
오후 4:48:28,141,135,,,,,,,
오후 4:48:28,162,139,,,,,,,
오후 4:48:28,162,139,,,,,,,
오후 4:48:28,146,141,,,,,,,
오후 4:48:28,146,141,,,,,,,
오후 4:48:28,148,143,,,,,,,
오후 4:48:28,148,143,,,,,,,
오후 4:48:28,152,145,,,,,,,
오후 4:48:28,152,145,,,,,,,
오후 4:48:28,223,221,,,,,,,
오후 4:48:28,223,221,,,,,,,
오후 4:48:28,196,154,,,,,,,
오후 4:48:28,196,154,,,,,,,
오후 4:48:28,223,222,,,,,,,
오후 4:48:28,223,222,,,,,,,
오후 4:48:28,,,IN,,,,,,
오후 4:49:02,223,222,,,,,,,
오후 4:49:02,223,222,,,,,,,
오후 4:49:02,223,222,,,,,,,
오후 4:49:02,223,91,,,,,,,
오후 4:49:02,223,223,,,,,,,
오후 4:49:02,223,223,,,,,,,
오후 4:49:02,223,223,,,,,,,
오후 4:49:02,116,223,,,,,,,
오후 4:49:02,223,91,,,,,,,
오후 4:49:02,223,91,,,,,,,
오후 4:49:02,223,91,,,,,,,
오후 4:49:02,223,127,,,,,,,
오후 4:49:02,116,223,,,,,,,
오후 4:49:02,116,223,,,,,,,
오후 4:49:02,116,223,,,,,,,
오후 4:49:02,87,82,,,,,,,
오후 4:49:02,223,127,,,,,,,
오후 4:49:02,223,127,,,,,,,
오후 4:49:02,223,127,,,,,,,
오후 4:49:02,87,80,,,,,,,
오후 4:49:02,87,80,,,,,,,
오후 4:49:02,87,80,,,,,,,
오후 4:49:02,123,83,,,,,,,
오후 4:49:02,123,83,,,,,,,
오후 4:49:02,80,79,,,,,,,
오후 4:49:02,80,79,,,,,,,
오후 4:49:02,79,79,,,,,,,
오후 4:49:02,79,79,,,,,,,
오후 4:49:02,80,81,,,,,,,
오후 4:49:02,80,81,,,,,,,
오후 4:49:02,80,81,,,,,,,
오후 4:49:02,80,81,,,,,,,
오후 4:49:02,81,83,,,,,,,
오후 4:49:02,81,83,,,,,,,
오후 4:49:02,82,84,,,,,,,
오후 4:49:02,82,84,,,,,,,
오후 4:49:02,91,85,,,,,,,
오후 4:49:02,91,85,,,,,,,
오후 4:49:03,81,91,,,,,,,
오후 4:49:03,81,91,,,,,,,
오후 4:49:03,86,91,,,,,,,
오후 4:49:03,86,91,,,,,,,
오후 4:49:03,83,91,,,,,,,
오후 4:49:03,83,91,,,,,,,
오후 4:49:03,85,93,,,,,,,
오후 4:49:03,85,93,,,,,,,
오후 4:49:03,92,101,,,,,,,
오후 4:49:03,92,101,,,,,,,
오후 4:49:03,98,103,,,,,,,
오후 4:49:03,98,103,,,,,,,
오후 4:49:03,94,148,,,,,,,
오후 4:49:03,94,148,,,,,,,
오후 4:49:03,99,143,,,,,,,
오후 4:49:03,99,143,,,,,,,
오후 4:49:03,99,140,,,,,,,
오후 4:49:03,99,140,,,,,,,
오후 4:49:03,103,142,,,,,,,
